IP/CDIR	            Subnet mask	       Range	                      Scope                Description
0.0.0.0/8	        255.0.0.0	       0.0.0.0 - 0.255.255.255        private network      "This" Network (RFC 1122, Section 3.2.1.3)
10.0.0.0/8	        255.0.0.0	       10.0.0.0 - 10.255.255.255	  private network 	   Private-Use Networks (RFC 1918)
100.64.0.0/10	    255.192.0.0	       100.64.0.0 - 100.127.255.255	  private network 	   Private network (RFC 6598)
172.16.0.0/12	    255.240.0.0	       172.16.0.0 - 172.31.255.255	  private network 	   Private-Use Networks (RFC 1918)
192.0.0.0/24	    255.255.255.0	   192.0.0.0 - 192.0.0.255	      private network	   IETF Protocol Assignments (RFC 5736)
198.18.0.0/15	    255.254.0.0	       198.18.0.0 - 198.19.255.255	  private network	   Network Interconnect Device Benchmark Testing (RFC 2544)
192.168.0.0/16	    255.255.0.0	       192.168.0.0 - 192.168.255.255  private network 	   Private-Use Networks (RFC 1918)
192.88.99.0/24	    255.255.255.0	   192.88.99.0 - 192.88.99.255	  Internet      	   6to4 Relay Anycast (RFC 3068)
224.0.0.0/4	        240.0.0.0	       224.0.0.0 - 239.255.255.255	  Internet 	           Multicast (RFC 3171)
192.0.2.0/24	    255.255.255.0	   192.0.2.0 - 192.0.2.255	      documentation	       TEST-NET-1 (RFC 5737)
198.51.100.0/24	    255.255.255.0	   198.51.100.0 - 198.51.100.255  documentation	       TEST-NET-2 (RFC 5737)
203.0.113.0/24	    255.255.255.0	   203.0.113.0 - 203.0.113.255	  documentation	       TEST-NET-3 (RFC 5737)
169.254.0.0/16	    255.255.0.0	       169.254.0.0 - 169.254.255.255  subnet	           Link Local (RFC 3927)
127.0.0.0/8	        255.0.0.0	       127.0.0.0 - 127.255.255.255	  host    	           Loopback (RFC 1122, Section 3.2.1.3)
240.0.0.0/4	        240.0.0.0	       240.0.0.0 - 255.255.255.254	  n/a 	               Reserved for Future Use (RFC 1112, Section 4)
255.255.255.255/32	255.255.255.255    255.255.255.255	              n/a	               Limited Broadcast (RFC 919, Section 7, RFC 922, Section 7)
